Nr;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. nach � 24 II EuWO;Wahlb. insges.;W�hler;dav. mit Wahlschein;Ung�lt. Stimmen;G�ltige Stimmen;CDU;SPD;GR�NE;AfD;FDP;DIE LINKE;FREIE W�HLER;PIRATEN;Tierschutzpartei;�DP;NPD;Die PARTEI;FAMILIE;Volksabstimmung;BP;MLPD;DKP;SGP;TIERSCHUTZ hier!;Tierschutzallianz;B�ndnis C;BIG;BGE;DIE DIREKTE!;DiEM25;III. Weg;Die Grauen;DIE RECHTE;DIE VIOLETTEN;LIEBE;DIE FRAUEN;Graue Panther;LKR;MENSCHLICHE WELT;NL;�koLinX;Die Humanisten;PARTEI F�R DIE TIERE;Gesundheitsforschung;VOLT
601;Grundschule Klingenberg, Z. 6 ;736;153;0;889;436;3;4;432;124;80;84;50;39;12;12;0;3;3;1;6;1;0;0;2;0;0;0;2;4;1;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;0;3
602;Altes Rathaus Klingenberg     ;518;124;0;642;286;2;3;283;67;52;50;43;19;16;11;1;3;2;0;7;1;0;1;0;0;0;2;0;0;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;1;0;2
701;B�rgeramt Frankenbach Sitzungs;583;133;0;716;322;1;4;318;78;59;48;70;22;9;10;5;2;4;1;2;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0
702;Leintalsporthalle, Mehrzweckra;690;146;0;836;415;0;4;411;140;62;73;51;44;12;9;0;3;0;0;5;4;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1
703;B�rgeramt Frankenbach, EG     ;800;131;0;931;363;0;5;358;81;67;65;55;27;13;21;1;5;2;0;7;1;0;1;0;0;0;0;1;3;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;4
704;Gemeindehalle Gro�er Saal     ;677;94;0;771;316;0;12;304;79;57;50;41;20;19;17;1;5;1;0;3;2;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2
705;Kath. Kiga Leintalstr.4       ;685;94;0;779;374;3;5;369;84;70;75;66;23;3;16;2;5;3;0;9;1;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;3
801;B�rgeramt Kirchhausen Foyer   ;737;99;0;836;376;1;0;376;124;46;64;66;32;9;12;1;0;4;2;8;0;0;0;1;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
802;St. Franziskus-Kindergarten   ;1008;172;0;1180;648;0;4;644;238;95;119;76;40;10;21;3;9;4;4;6;2;0;0;0;0;0;0;2;2;1;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;2;1;5
803;Deutschordenshalle Foyer      ;670;108;0;778;368;0;7;361;139;46;47;48;27;12;17;3;0;2;0;4;2;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;3;1;2;0;0;2;0;0;2
901;Dienstleistungszentrum, Feuerw;1106;140;0;1246;602;0;10;592;200;87;106;83;44;19;11;4;2;6;0;8;4;0;1;0;0;0;3;1;0;3;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;4
902;B�llingertalhalle Foyer, links;482;133;0;615;314;2;5;309;93;69;55;37;24;8;7;1;1;3;0;3;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3
903;B�rgeramt Biberach, Sitzungssa;904;183;1;1088;472;0;3;469;148;89;60;64;37;20;18;3;3;2;0;8;3;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;2;0;0;0;0;0;3;0;4
904;B�llingertalhalle Foyer, recht;557;130;0;687;344;0;4;340;101;78;61;41;16;6;11;1;3;3;0;5;0;2;3;2;0;0;2;0;1;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1001;Jugendhaus Horkheim           ;859;153;0;1012;478;0;7;471;123;79;119;51;27;8;19;0;2;9;0;10;4;2;0;1;0;0;3;1;2;1;0;1;2;0;1;0;0;0;1;1;0;0;0;0;0;1;0;3
1002;Grundschule Horkheim, Mensa   ;812;146;0;958;544;0;5;539;161;82;140;52;26;16;15;2;7;11;3;6;4;1;2;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;5;0;1
1003;AWO-Kindertagesst�tte         ;947;138;0;1085;576;4;11;565;149;110;130;56;49;14;17;5;3;6;0;7;4;0;1;0;0;0;0;0;0;0;1;1;4;0;0;1;2;1;0;1;0;0;0;0;0;1;1;1
290;Schul-, Kultur-,Sportamt, Z. 9;0;0;0;0;747;747;14;733;170;102;207;64;62;29;12;8;9;2;1;34;0;1;0;2;0;0;2;2;1;1;1;3;3;0;0;0;0;0;0;3;3;0;2;0;1;2;2;4
291;Rathaus Heilbronn, Zimmer 106 ;0;0;0;0;596;596;10;586;146;88;158;56;49;30;4;10;4;3;0;16;3;0;1;0;0;0;1;0;1;2;0;0;1;0;2;0;0;0;2;0;1;0;1;0;0;2;0;5
292;Schul-, Kultur-,Sportamt, Bild;0;0;0;0;617;617;9;608;165;72;153;50;68;24;15;0;6;9;2;16;0;1;2;0;0;0;1;0;1;5;1;0;4;0;1;0;0;0;1;0;0;1;1;0;1;2;0;6
293;Rathaus Heilbronn, Zimmer 105 ;0;0;0;0;663;663;12;651;196;94;137;68;83;16;6;5;5;3;0;13;1;2;0;0;0;0;1;0;1;2;2;2;2;1;1;0;0;0;0;2;1;0;0;1;1;1;0;4
294;Rathaus Heilbronn, Archivsaal ;0;0;0;0;654;654;11;643;221;70;150;59;84;16;11;2;1;7;1;9;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;0;2;0;0
